iter	Passed	Remaining
0	124	124765
1	125	62856
2	127	42294
3	128	32085
4	129	25839
5	131	21703
6	132	18818
7	134	16684
8	136	14993
9	137	13623
10	138	12491
11	140	11542
12	141	10744
13	142	10035
14	143	9414
15	144	8873
16	145	8385
17	145	7947
18	146	7567
19	147	7228
20	148	6921
21	149	6645
22	150	6395
23	151	6158
24	152	5930
25	152	5725
26	153	5528
27	154	5346
28	154	5174
29	155	5012
30	155	4866
31	156	4732
32	157	4602
33	157	4478
34	158	4363
35	159	4257
36	159	4156
37	160	4062
38	161	3974
39	162	3901
40	163	3820
41	164	3743
42	164	3664
43	165	3589
44	165	3519
45	166	3452
46	167	3388
47	167	3326
48	168	3269
49	169	3212
50	169	3157
51	170	3102
52	170	3050
53	171	3000
54	171	2952
55	172	2905
56	172	2861
57	173	2817
58	173	2774
59	174	2734
60	175	2695
61	175	2660
62	176	2627
63	177	2594
64	178	2562
65	178	2529
66	179	2497
67	179	2465
68	180	2436
69	181	2408
70	181	2381
71	182	2352
72	182	2323
73	183	2296
74	184	2269
75	184	2243
76	184	2217
77	185	2192
78	186	2168
79	186	2144
80	187	2124
81	187	2104
82	188	2080
83	188	2060
84	189	2039
85	190	2019
86	190	2002
87	191	1985
88	192	1971
89	193	1954
90	193	1937
91	194	1922
92	195	1904
93	195	1887
94	196	1871
95	197	1855
96	197	1838
97	198	1823
98	198	1807
99	199	1792
100	199	1777
101	200	1764
102	201	1751
103	201	1737
104	202	1723
105	202	1709
106	203	1696
107	203	1683
108	204	1669
109	204	1657
110	205	1646
111	206	1636
112	207	1626
113	208	1616
114	208	1606
115	209	1595
116	209	1583
117	210	1572
118	210	1561
119	211	1550
120	212	1540
121	212	1530
122	213	1521
123	214	1512
124	214	1502
125	215	1492
126	215	1482
127	216	1472
128	216	1463
129	217	1454
130	217	1445
131	218	1436
132	219	1427
133	219	1420
134	220	1413
135	221	1405
136	221	1397
137	222	1390
138	223	1382
139	223	1374
140	224	1367
141	224	1359
142	225	1351
143	226	1343
144	226	1336
145	227	1329
146	227	1322
147	228	1315
148	229	1308
149	229	1301
150	230	1295
151	231	1289
152	231	1283
153	232	1276
154	232	1269
155	233	1263
156	234	1257
157	234	1250
158	235	1244
159	236	1240
160	236	1233
161	237	1227
162	238	1222
163	238	1216
164	239	1210
165	240	1206
166	240	1200
167	241	1194
168	241	1189
169	242	1183
170	243	1178
171	243	1172
172	244	1167
173	244	1162
174	245	1156
175	245	1151
176	246	1146
177	247	1140
178	247	1135
179	248	1131
180	249	1127
181	249	1122
182	250	1117
183	250	1112
184	251	1108
185	252	1104
186	252	1099
187	253	1095
188	254	1091
189	254	1086
190	255	1082
191	256	1078
192	256	1074
193	257	1069
194	258	1065
195	258	1061
196	259	1057
197	260	1053
198	260	1049
199	261	1045
200	261	1041
201	262	1037
202	263	1033
203	263	1028
204	264	1024
205	264	1020
206	265	1017
207	266	1013
208	266	1010
209	267	1006
210	268	1003
211	268	999
212	269	996
213	270	992
214	270	988
215	271	984
216	271	981
217	272	977
218	273	973
219	273	970
220	274	966
221	274	962
222	275	959
223	275	955
224	276	952
225	277	949
226	277	945
227	278	942
228	278	939
229	279	935
230	280	932
231	280	929
232	281	926
233	282	923
234	282	920
235	283	917
236	284	914
237	284	911
238	285	908
239	286	905
240	286	902
241	287	899
242	287	896
243	288	893
244	288	890
245	289	887
246	290	884
247	290	881
248	291	878
249	291	875
250	292	872
251	292	869
252	293	866
253	293	863
254	294	861
255	295	858
256	295	855
